make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,peak-rpm
volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi,4800
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5250
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,4500
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,5500
volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi,5500
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,4500
volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi,5500
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,5400
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5100
volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,5100
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,5400
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5300
volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,5500
volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,4800
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,5400
